county_id,control_hct_id,"control_hct_name","lgarea_group"
33,1,"Bellevue","Eastside King"
33,2,"Seattle","Seattle"
33,3,"Auburn","Green River"
33,4,"Bothell","Eastside King"
33,5,"Burien","SW King"
33,6,"Federal Way","SW King"
33,7,"Issaquah","Eastside King"
33,8,"Kent","SE King"
33,9,"Kirkland","Eastside King"
33,10,"Redmond","Eastside King"
33,11,"Renton","Green River"
33,12,"SeaTac","SW King"
33,13,"Tukwila","Green River"
33,14,"Des Moines","SW King"
33,15,"Federal Way PAA","SW King"
33,16,"Kenmore","Eastside King"
33,17,"Lake Forest Park","Shoreline"
33,18,"Mercer Island","Eastside King"
33,19,"Newcastle","Eastside King"
33,20,"North Highline","SW King"
33,22,"Renton PAA East Renton","SE King"
33,23,"Renton PAA Fairwood","SE King"
33,24,"Renton PAA West Hill","Green River"
33,25,"Shoreline","Shoreline"
33,26,"Woodinville","Eastside King"
33,27,"Algona","SW King"
33,28,"Beaux Arts","Eastside King"
33,29,"Black Diamond","SE King"
33,30,"Carnation","King Other"
33,31,"Clyde Hill","Eastside King"
33,32,"Covington","SE King"
33,33,"Duvall","King Other"
33,34,"Enumclaw","SE King"
33,35,"Hunts Point","Eastside King"
33,36,"Maple Valley","SE King"
33,37,"Medina","Eastside King"
33,38,"Milton","SW King"
33,39,"Normandy Park","SW King"
33,40,"North Bend","King Other"
33,41,"Pacific","Green River"
33,42,"Sammamish","Eastside King"
33,43,"Skykomish","King Other"
33,44,"Snoqualmie","King Other"
33,45,"Yarrow Point","Eastside King"
33,46,"Auburn PAA","Green River"
33,48,"Bellevue PAA","Eastside King"
33,49,"Black Diamond PAA","SE King"
33,51,"Issaquah PAA","Eastside King"
33,52,"Kent PAA","Green River"
33,53,"King UGA","Eastside King"
33,57,"Newcastle PAA","Eastside King"
33,58,"Pacific PAA","SW King"
33,60,"Redmond PAA","Eastside King"
33,61,"Sammamish PAA","Eastside King"
33,64,"King Rural","SW King"
33,201,"King no growth UGA Bear Creek UPD","Eastside King"
33,202,"Carnation UGA","King Other"
33,203,"Covington PAA","SE King"
33,204,"Duvall UGA","King Other"
33,205,"Enumclaw UGA","SE King"
33,206,"King no growth UGA Milton PAA","SW King"
33,207,"North Bend UGA","King Other"
33,208,"Snoqualmie UGA","King Other"
33,209,"King no growth UGA Tukwila PAA","Green River"
33,301,"King Rural Ag and Resource","Pierce Other"
33,1001,"Bellevue HCT","Eastside King"
33,1002,"Seattle HCT","Seattle"
33,1003,"Auburn HCT","SE King"
33,1004,"Bothell HCT","Eastside King"
33,1005,"Burien HCT","SW King"
33,1006,"Federal Way HCT","SW King"
33,1007,"Issaquah HCT","Eastside King"
33,1008,"Kent HCT","Green River"
33,1009,"Kirkland HCT","Eastside King"
33,1010,"Redmond HCT","Eastside King"
33,1011,"Renton HCT","Green River"
33,1012,"SeaTac HCT","SW King"
33,1013,"Tukwila HCT","Green River"
33,1014,"Des Moines HCT","SW King"
33,1015,"Federal Way PAA HCT","SW King"
33,1016,"Kenmore HCT","Eastside King"
33,1017,"Lake Forest Park HCT","Shoreline"
33,1018,"Mercer Island HCT","Eastside King"
33,1019,"Newcastle HCT","Eastside King"
33,1020,"North Highline HCT","SW King"
33,1024,"Renton PAA West Hill HCT","Green River"
33,1025,"Shoreline HCT","Shoreline"
33,1026,"Woodinville HCT","Eastside King"
35,65,"Bremerton","Central Kitsap"
35,67,"Bremerton UGA","Central Kitsap"
35,68,"Silverdale","Central Kitsap"
35,69,"Bainbridge Island","North Kitsap"
35,70,"Kingston UGA","North Kitsap"
35,71,"Port Orchard","South Kitsap"
35,72,"Port Orchard UGA","South Kitsap"
35,73,"Poulsbo","North Kitsap"
35,74,"Poulsbo PUTA","North Kitsap"
35,75,"Central Kitsap UGA","Central Kitsap"
